root_id,root,canonical_pattern,aliases,scope,root_type,demand_category,primary_intent,applicable_domains,example_keywords,status,evidence_level,validation_basis,evidence_ref,source_name,source_url,added_at,last_verified_at,notes
root-best,best,x best,,universal,decision_pattern,compare,commercial,all,best coffee grinder; best time to visit japan,active,L1,Exact member of published 122-root expansion list | Included in 122 expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list | Root Library v1 curation,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,Published-list inclusion establishes provenance only; downstream demand remains unvalidated.
root-comparator,comparator,x comparator,compare,universal,functional_suffix,compare,tool,all,price comparator; product comparator,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-compatibility,compatibility,x compatibility,,universal,relationship_pattern,compare,informational,relationships;astrology;products,relationship compatibility; zodiac compatibility,verified,L2,Observed recurring demand family in Semrush US batch (53 matching unique keywords).,references/semrush-interest-scan-2026-08-22.md#compatibility,Semrush US interest-domain scan 2026-08-22,,2026-08-22,2026-08-22,
root-builder,builder,x builder,,universal,functional_suffix,create,tool,all,website builder; resume builder,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-constructor,constructor,x constructor,,universal,functional_suffix,create,tool,all,regex constructor; form constructor,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-creator,creator,x creator,,universal,functional_suffix,create,tool,all,logo creator; avatar creator,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-generator,generator,x generator,generate,universal,functional_suffix,create,tool,all,password generator; name generator,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-maker,maker,x maker,,universal,functional_suffix,create,tool,all,logo maker; meme maker,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-cataloger,cataloger,x cataloger,,universal,functional_suffix,discover,tool,all,book cataloger; media cataloger,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-directory,directory,x directory,,universal,functional_suffix,discover,tool,all,startup directory; therapist directory,active,L1,Exact member of published 122-root expansion list | Included in 122 expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list | Root Library v1 curation,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,Published-list inclusion establishes provenance only; downstream demand remains unvalidated.
root-explorer,explorer,x explorer,,universal,functional_suffix,discover,tool,all,file explorer; blockchain explorer,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-extractor,extractor,x extractor,extract,universal,functional_suffix,discover,tool,all,text extractor; data extractor,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-navigator,navigator,x navigator,,universal,functional_suffix,discover,tool,all,route navigator; documentation navigator,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-scraper,scraper,x scraper,,universal,functional_suffix,discover,tool,all,web scraper; price scraper,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-test,test,x test,,universal,interactive_pattern,evaluate,tool,education;relationships;diagnostics,personality test; typing test,verified,L2,Observed recurring demand family in Semrush US batch (63 matching unique keywords).,references/semrush-interest-scan-2026-08-22.md#test,Semrush US interest-domain scan 2026-08-22,,2026-08-22,2026-08-22,
root-how-to,how to,x how to,,universal,question_pattern,learn,informational,all,how to calculate mortgage; how to meditate,active,L1,Exact member of published 122-root expansion list | Included in 122 expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list | Root Library v1 curation,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,Published-list inclusion establishes provenance only; downstream demand remains unvalidated.
root-assistant,assistant,x assistant,,universal,functional_suffix,manage,tool,all,writing assistant; meeting assistant,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-dashboard,dashboard,x dashboard,,universal,functional_suffix,manage,tool,all,analytics dashboard; budget dashboard,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-manager,manager,x manager,,universal,functional_suffix,manage,tool,all,password manager; task manager,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-monitor,monitor,x monitor,,universal,functional_suffix,manage,tool,all,uptime monitor; price monitor,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-notifier,notifier,x notifier,,universal,functional_suffix,manage,tool,all,price notifier; email notifier,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-planner,planner,x planner,plan,universal,functional_suffix,manage,tool,all,trip planner; meal planner,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-recorder,recorder,x recorder,,universal,functional_suffix,manage,tool,all,screen recorder; voice recorder,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-scheduler,scheduler,x scheduler,schedule,universal,functional_suffix,manage,tool,all,meeting scheduler; post scheduler,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-tracker,tracker,x tracker,track,universal,functional_suffix,manage,tool,all,package tracker; habit tracker,active,L1,Exact member of Gefei 51 published tool-root list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ,Gefei 51 tool roots (original + public mirror),https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-designer,designer,x designer,,universal,candidate_pattern,other,mixed,all,logo designer; room designer,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-translator,translator,x translator,,universal,candidate_pattern,other,mixed,all,language translator; document translator,active,L1,Exact member of Gefei 51 published tool-root list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ,Gefei 51 tool roots (original + public mirror),https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-viewer,viewer,x viewer,view,universal,candidate_pattern,other,mixed,all,pdf viewer; image viewer,active,L1,Exact member of Gefei 51 published tool-root list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ,Gefei 51 tool roots (original + public mirror),https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-itinerary,itinerary,x itinerary,,universal,planning_pattern,plan,mixed,travel,japan itinerary; 5 day itinerary,verified,L2,Observed recurring demand family in Semrush US batch (56 matching unique keywords).,references/semrush-interest-scan-2026-08-22.md#itinerary,Semrush US interest-domain scan 2026-08-22,,2026-08-22,2026-08-22,
root-packing-list,packing list,x packing list,,universal,planning_pattern,plan,resource,travel,cruise packing list; japan packing list,verified,L2,Observed recurring demand family in Semrush US batch (28 matching unique keywords).,references/semrush-interest-scan-2026-08-22.md#packing-list,Semrush US interest-domain scan 2026-08-22,,2026-08-22,2026-08-22,
root-questions-for-couples,questions for couples,questions for couples,,universal,relationship_pattern,relationship,interactive,relationships,questions for couples; deep questions for couples,verified,L2,Observed recurring demand family in Semrush US batch (12 matching unique keywords).,references/semrush-interest-scan-2026-08-22.md#questions-for-couples,Semrush US interest-domain scan 2026-08-22,,2026-08-22,2026-08-22,
root-cheat-sheet,cheat sheet,x cheat sheet,,universal,resource_format,resource,resource,education;developer;professional,python cheat sheet; excel cheat sheet,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,Published-list inclusion establishes provenance only; downstream demand remains unvalidated.
